wweasdsh0011.dc.ege.ds  10.20.179.122
wweasimp0011.dc.ege.ds  10.20.179.123
wweasimp0012.dc.ege.ds  10.20.179.124
wweasnco0011.dc.ege.ds  10.20.179.125
wweasnco0012.dc.ege.ds  10.20.179.126
wweasrms0011.dc.ege.ds  10.20.179.127
wweasgit0011.dc.ege.ds  10.20.179.128
wweastcr0011.dc.ege.ds  10.20.179.129
wweastdw0011.dc.ege.ds  10.20.179.130
wweashms0011.dc.ege.ds  10.20.179.131
wweashms0012.dc.ege.ds  10.20.179.132
wweastps0011.dc.ege.ds  10.20.179.133
wweastdw0012.dc.ege.ds  10.20.179.134
wweasscd0011.dc.ege.ds  10.20.179.135
