CABRPVMW0001.BRP.CA.CORP 10.144.98.110 CABRPVMW0002.BRP.CA.CORP 10.144.98.111
BRCMBVMW0035.CMB.BR.CORP 10.113.98.35 BRCMBVMW0036.CMB.BR.CORP 10.113.98.36
USARJVMW0001.ARJ.US.CORP 10.131.201.55 USARJVMW0002.ARJ.US.CORP 10.131.201.56
USDEXVMW0003.DEX.US.CORP 10.134.194.17 USDEXVMW0004.DEX.US.CORP 10.134.194.18
USFOUVMW0001.FOU.US.CORP 10.132.2.102 USFOUVMW0002.FOU.US.CORP 10.132.2.103
USGLDVMW0001.GLD.US.CORP 10.131.140.110 USGLDVMW0002.GLD.US.CORP 10.131.140.120
USGLDVMW0003.GLD.US.CORP 10.131.140.130 USGLDVMW0004.GLD.US.CORP 10.131.140.140
USLANVMW0001.LAN.US.CORP 10.130.162.11 USLANVMW0002.LAN.US.CORP 10.130.162.12
USLOUVMW0003.LOU.US.CORP 10.130.66.117 USLOUVMW0004.LOU.US.CORP 10.130.66.119
USLUIVMW0001.LUI.US.CORP 10.133.66.110 USLUIVMW0002.LUI.US.CORP 10.133.66.111
USMSMVMW0001.MSM.US.CORP 10.131.210.19 USMSMVMW0002.MSM.US.CORP 10.131.210.20
USSLNVMW0002.SLN.US.CORP 10.133.98.40 USSLNVMW0003.SLN.US.CORP 10.133.98.50
USTAYVMW0001.TAY.US.CORP 10.130.130.27 USTAYVMW0002.TAY.US.CORP 10.130.130.28
USTDOVMW0003.TDO.US.CORP 10.130.178.110 USTDOVMW0004.TDO.US.CORP 10.130.178.111
USTRYVMW0001.TRY.US.CORP 10.130.111.50 USTRYVMW0002.TRY.US.CORP 10.130.111.51
USTULESX0003.TUL.US.CORP 10.128.194.11 USTULESX0004.TUL.US.CORP 10.128.194.12
usxfcVMW0001.xfc.us.CORP 10.132.34.120 usxfcVMW0002.xfc.us.CORP 10.132.34.121
USXFQVMW0001.XFQ.US.CORP 10.132.66.6 USXFQVMW0002.XFQ.US.CORP 10.132.66.7
usflhvmw0001.flh.us.corp 10.130.15.57 usflhvmw0002.flh.us.corp 10.130.15.58
MXPUEVMW0001.PUE.MX.CORP 10.100.98.25 MXPUEVMW0002.PUE.MX.CORP 10.100.98.26
MXHMOVMW0001.HMO.MX.CORP 10.101.2.20 MXHMOVMW0002.HMO.MX.CORP 10.101.2.30
MXRMAVMW0001.RMA.MX.CORP 10.101.162.51 MXRMAVMW0002.RMA.MX.CORP 10.101.162.52
MXQRJVMW0002.QRJ.MX.CORP 10.100.194.16 MXQRJVMW0003.QRJ.MX.CORP 10.100.194.18
MXSILVMW0001.SIL.MX.CORP 10.101.34.11 MXSILVMW0002.SIL.MX.CORP 10.101.34.14
MXPUAVMW0001.PUA.MX.CORP 10.100.2.51 MXPUAVMW0002.PUA.MX.CORP 10.100.2.52 
MXPB4VMW0001.PUE.MX.CORP 10.100.98.33 MXPB4VMW0002.PUE.MX.CORP 10.100.98.34 
MXSLPVMW0001.slp.mx.corp 10.101.146.51 MXSLPVMW0002.slp.mx.corp 10.101.146.52
MXPBCVMW0002.PBC.MX.CORP 10.100.50.7 MXPBCVMW0003.PBC.MX.CORP 10.100.50.8
mxramvmw0001.ram.mx.corp 10.101.210.51 mxramvmw0002.ram.mx.corp 10.101.210.52
MXHJZVMW0001.HJZ.MX.CORP 10.101.178.51 MXHJZVMW0002.HJZ.MX.CORP 10.101.178.52
MXPUEVMW0005.PUE.MX.CORP 10.100.130.55 MXPUEVMW0006.PUE.MX.CORP 10.100.130.56
