BEBRUVMW0004.BRU.BE.CORP	10.88.66.124
CZPRBVMW0003.PRB.CZ.CORP	10.188.67.111
DEBPPVMW0010.bpp.de.corp	10.16.82.7
DEHANVMW0003.han.de.corp	10.18.98.13
depenvmw0003.pen.de.corp	10.14.18.8
ESTARVMW0003.TAR.ES.CORP	10.68.130.31
FRAUDVMW0004.AUD.FR.CORP	10.58.66.73
FRHENVMW0003.HEN.FR.CORP	10.57.140.11
FRMARVMW0004.mar.fr.corp	10.55.194.34
PLGOWVMW0006.gow.pl.corp	10.184.178.202
PLWLBVMW0007.wlb.pl.corp	10.184.224.30
RUSPEVMW0001.spe.ru.corp	10.208.234.200
BEBRUVMW0005.BRU.BE.CORP	10.88.66.125
CZPRBVMW0002.PRB.CZ.CORP	10.188.67.112
DEBPPVMW0011.bpp.de.corp	10.16.83.7
DEHANVMW0004.han.de.corp	10.18.98.14
depenvmw0004.pen.de.corp	10.14.18.9
ESTARVMW0004.TAR.ES:CORP	10.68.130.32
FRAUDVMW0005.AUD.FR.CORP	10.58.66.74
FRHENVMW0004.HEN.FR.CORP	10.57.140.12
FRMARVMW0005.mar.fr.corp	10.55.194.38
PLGOWVMW0007.gow.pl.corp	10.184.178.203
PLWLBVMW0008.wlb.pl.corp	10.184.224.31
RUSPEVMW0002.spe.ru.corp	10.208.234.201
