BRQUAVMW0001.QUA.BR.CORP	10.113.82.15
USSHEESX0001.she.us.corp	10.129.130.11
uswtzesx0001.wtz.us.corp	10.129.50.6
MXHJZESX0011.HJZ.MX.CORP	10.101.178.11
MXPBCVMW0011.PBC.MX.CORP	10.100.50.
MXPBCVMW0012.PBC.MX.CORP	10.100.50.
MXSJCVMW0011.SJC.MX.CORP	10.101.18.11
MXVDRVMW0011.VDR.MX.CORP	10.100.34.11
BRQUAVMW0002.QUA.BR.CORP	10.113.82.16
USSHEESX0002.she.us.corp	10.129.130.12
uswtzesx0002.wtz.us.corp	10.129.51.6
MXHJZESX0012.HJZ.MX.CORP	10.101.178.12
MXSJCVMW0012.SJC.MX.CORP	10.101.18.12
MXVDRVMW0012.VDR.MX.CORP	10.100.34.12
