CZBKVVMW0001.bkv.cz.CORP 10.188.34.120 CZBKVVMW0003.bkv.cz.CORP 10.188.34.130
CZMBOVMW0003.MBO.CZ.CORP 10.188.194.11 CZMBOVMW0004.MBO.CZ.CORP 10.188.194.14
CZMBVVMW0003.MBV.CZ.CORP 10.188.1.52 CZMBVVMW0004.MBV.CZ.CORP 10.188.1.53
CZPRBVMW0006.prb.cz.corp 10.188.66.32 CZPRBVMW0007.prb.cz.corp 10.188.66.33
CZPSKVMW0004.psk.cz.corp 10.188.130.60 CZPSKVMW0005.psk.cz.corp 10.188.130.63
CZPSKVMW0006.psk.cz.corp 10.188.130.70 CZPSKVMW0007.psk.cz.corp 10.188.130.73
ESABRVMW0002.ABR.ES.CORP 10.64.130.52 ESABRVMW0003.ABR.ES.CORP 10.64.130.54
ESALMVMW0001.ALM.ES.CORP 10.65.130.48 ESALMVMW0002.ALM.ES.CORP 10.65.130.50
ESAMSVMW0002.AMS.ES.CORP 10.65.212.51 ESAMSVMW0003.AMS.ES.CORP 10.65.212.52
ESOLMVMW0013.OLM.ES.CORP 10.68.4.13 esolmVMW0014.olm.es.CORP 10.68.4.14
ESOREVMW0001.ORE.ES.CORP 10.70.130.36 ESOREVMW0002.ORE.ES.CORP 10.70.130.37
ESPORVMW0001.POR.ES.CORP 10.71.130.40 ESPORVMW0002.POR.ES.CORP 10.71.130.44
ESSDDVMW0007.SDD.ES.CORP 10.65.2.117 ESSDDVMW0008.SDD.ES.CORP 10.65.2.118
ESTUDVMW0002.TUD.ES.CORP 10.68.212.50 ESTUDVMW0003.TUD.ES.CORP 10.68.212.51
FRETUVMW0001.ETU.FR.CORP 10.54.194.40 FRETUVMW0002.ETU.FR.CORP 10.54.194.42
FRFLEVMW0001.FLE.FR.CORP 10.61.130.41 FRFLEVMW0002.FLE.FR.CORP 10.61.130.42
FRMERVMW0003.MER.FR.CORP 10.53.3.90 FRMERVMW0004.MER.FR.CORP 10.53.2.92
FRMINVMW0002.MIN.FR.CORP 10.50.2.26 FRMINVMW0003.MIN.FR.CORP 10.50.2.31
FRMOUVMW0005.MOU.FR.CORP 10.50.66.65 FRMOUVMW0006.MOU.FR.CORP 10.50.66.66
FRMRCVMW0004.mrc.fr.corp 10.49.196.20 frmrcvmw0005.mrc.fr.corp 10.49.196.21
FRNOMVMW0001.NOM.FR.CORP 10.55.132.181 FRNOMVMW0002.NOM.FR.CORP 10.55.132.182
FRSMMVMW0002.SMM.FR.CORP 10.50.194.32 FRSMMVMW0003.SMM.FR.CORP 10.50.194.33
frthlvmw0002.thl.fr.corp 10.58.36.20 frthlvmw0003.thl.fr.corp 10.58.36.30
frtstmvmw0002.stm.fr.corp 10.58.2.11 frstmvmw0003.stm.fr.corp 10.58.2.12
FRVMOVMW0002.VMO.FR.CORP 10.49.66.28 FRVMOVMW0003.VMO.FR.CORP 10.49.66.29
GBFDWVMW0001.FDW.GB.CORP 10.179.194.101 GBFDWVMW0002.FDW.GB.CORP 10.179.195.101
GBFDYVMW0003.FDY.GB.CORP 10.176.2.101 GBFDYVMW0004.FDY.GB.CORP 10.176.3.101
NLRMPVMW0004.RMP.NL.CORP 10.202.148.16 NLRMPVMW0005.RMP.NL.CORP 10.202.148.17
PLGOWVMW0004.GOW.PL.CORP 10.184.178.200 PLGOWVMW0005.GOW.PL.CORP 10.184.178.201
PLGROVMW0001.GRO.PL.CORP 10.184.1.158 PLGROVMW0002.GRO.PL.CORP 10.184.1.159
PLWLBVMW0001.wlb.pl.corp 10.184.224.15 PLWLBVMW0002.wlb.pl.corp 10.184.224.16 
PLWLBVMW0003.WLB.PL.CORP 10.184.224.17 PLWLBVMW0004.WLB.PL.CORP 10.184.224.18
BLESEVMW0002.ESE.FR.CORP 10.90.2.30 BLESEVMW0003.ESE.FR.CORP 10.90.2.31
PLWLBVMW0005.wlb.pl.corp 10.184.224.19 PLWLBVMW0006.wlb.pl.corp 10.184.224.20
ROMIOVMW0001.MIO.RO.CORP 10.196.66.31 ROMIOVMW0002.MIO.RO.CORP 10.196.66.33
ROMIVVMW0002.MIV.RO.CORP 10.196.178.31 ROMIVVMW0003.MIV.RO.CORP 10.196.178.33
skkscvmw0018.ksc.sk.corp 10.192.18.38 skkscvmw0019.ksc.sk.corp 10.192.18.39
